time,primary.primaryreactor.rated_power_mw,primary.primaryreactor.thermal_power_mw,primary.primaryreactor.total_reactivity_pcm,primary.primaryreactor.scram_activated,primary.primaryreactor.neutronics_neutron_flux,primary.primaryreactor.neutronics_reactivity,primary.primaryreactor.neutronics_reactivity_pcm,primary.primaryreactor.neutronics_xenon_concentration,primary.primaryreactor.neutronics_iodine_concentration,primary.primaryreactor.neutronics_samarium_concentration,primary.primaryreactor.thermal_fuel_temperature,primary.primaryreactor.thermal_coolant_temperature,primary.primaryreactor.thermal_coolant_pressure,primary.primaryreactor.thermal_coolant_flow_rate,primary.primaryreactor.thermal_coolant_void_fraction,primary.primaryreactor.thermal_thermal_power,primary.primaryreactor.steam_steam_temperature,primary.primaryreactor.steam_steam_pressure,primary.primaryreactor.steam_steam_flow_rate,primary.primaryreactor.steam_feedwater_flow_rate,primary.primaryreactor.control_control_rod_position,primary.primaryreactor.control_steam_valve_position,primary.primaryreactor.control_boron_concentration,primary.primaryreactor.control_power_level,primary.primaryreactor.safety_scram_status,primary.primaryreactor.safety_scram_activated,primary.primaryreactor.fuel_fuel_burnup,primary.primaryreactor.fuel_burnable_poison_worth
39.0,3000.0,3000.0,0.0,False,10000000000000.0,0.0,0.0,2800000000000000.0,1.5e+16,1000000000000000.0,449.0,310.0,15.511025212331951,20000.0,0.0,3000.0,309.5894199182935,1.0,1665.0,1000.0,95.0,50.0,12000.0,100.0,False,False,15000.0,0.0
40.0,3000.0,3000.0,0.0,False,10000000000000.0,0.0,0.0,2800000000000000.0,1.5e+16,1000000000000000.0,450.0,310.0,15.511254960208632,20000.0,0.0,3000.0,309.63047792646415,1.0,1665.0,1000.0,95.0,50.0,12000.0,100.0,False,False,15000.0,0.0
41.0,3000.0,3000.0,0.0,False,10000000000000.0,0.0,0.0,2800000000000000.0,1.5e+16,1000000000000000.0,451.0,310.0,15.511482410606545,20000.0,0.0,3000.0,309.66743013381773,1.0,1665.0,1000.0,95.0,50.0,12000.0,100.0,False,False,15000.0,0.0
42.0,3000.0,3000.0,0.0,False,10000000000000.0,0.0,0.0,2800000000000000.0,1.5e+16,1000000000000000.0,452.0,310.0,15.51170758650048,20000.0,0.0,3000.0,309.700687120436,1.0,1665.0,1000.0,95.0,50.0,12000.0,100.0,False,False,15000.0,0.0
43.0,3000.0,3000.0,0.0,False,10000000000000.0,0.0,0.0,2800000000000000.0,1.5e+16,1000000000000000.0,453.0,310.0,15.511930510635475,20000.0,0.0,3000.0,309.7306184083924,1.0,1665.0,1000.0,95.0,50.0,12000.0,100.0,False,False,15000.0,0.0
44.0,3000.0,3000.0,0.0,False,10000000000000.0,0.0,0.0,2800000000000000.0,1.5e+16,1000000000000000.0,454.0,310.0,15.51215120552912,20000.0,0.0,3000.0,309.75755656755314,1.0,1665.0,1000.0,95.0,50.0,12000.0,100.0,False,False,15000.0,0.0
45.0,3000.0,3000.0,0.0,False,10000000000000.0,0.0,0.0,2800000000000000.0,1.5e+16,1000000000000000.0,455.0,310.0,15.512369693473829,20000.0,0.0,3000.0,309.7818009107978,1.0,1665.0,1000.0,95.0,50.0,12000.0,100.0,False,False,15000.0,0.0
46.0,3000.0,3000.0,0.0,False,10000000000000.0,0.0,0.0,2800000000000000.0,1.5e+16,1000000000000000.0,456.0,310.0,15.51258599653909,20000.0,0.0,3000.0,309.80362081971805,1.0,1665.0,1000.0,95.0,50.0,12000.0,100.0,False,False,15000.0,0.0
47.0,3000.0,3000.0,0.0,False,10000000000000.0,0.0,0.0,2800000000000000.0,1.5e+16,1000000000000000.0,457.0,310.0,15.5128001365737,20000.0,0.0,3000.0,309.82325873774624,1.0,1665.0,1000.0,95.0,50.0,12000.0,100.0,False,False,15000.0,0.0
48.0,3000.0,3000.0,0.0,False,10000000000000.0,0.0,0.0,2800000000000000.0,1.5e+16,1000000000000000.0,458.0,310.0,15.513012135207964,20000.0,0.0,3000.0,309.8409328639716,1.0,1665.0,1000.0,95.0,50.0,12000.0,100.0,False,False,15000.0,0.0
